MEND_ID,PAAX_ID,GW_ID,ActorName,actor_classification_mend,actor_classification
CON_0,CON_0,346,Bosnia and Herzegovina,CON,Country/State
CON_1,CON_1,344,Croatia,CON,Country/State
CON_10,CON_10,210,Netherlands,CON,Country/State
CON_11,CON_11,20,Canada,CON,Country/State
CON_12,CON_12,820,Malaysia,CON,Country/State
CON_13,CON_13,565,Namibia,CON,Country/State
CON_139,CON_139,325,Italy,CON,Country/State
CON_14,CON_14,317,Slovenia,CON,Country/State
CON_142,CON_142,436,Niger,CON,Country/State
CON_146,CON_146,790,Nepal,CON,Country/State
CON_15,CON_15,140,Brazil,CON,Country/State
CON_157,CON_157,483,Chad,CON,Country/State
CON_158,CON_158,625,Sudan,CON,Country/State
CON_159,CON_159,530,Ethiopia,CON,Country/State
CON_16,CON_16,420,Gambia,CON,Country/State
CON_160,CON_160,840,Philippines,CON,Country/State
CON_162,CON_162,850,Indonesia,CON,Country/State
CON_169,CON_169,205,Ireland,CON,Country/State
CON_17,CON_17,481,Gabon,CON,Country/State
CON_171,CON_171,375,Finland,CON,Country/State
CON_172,CON_172,501,Kenya,CON,Country/State
CON_173,CON_173,626,South Sudan,CON,Country/State
CON_174,CON_174,510,Chama Cha Mapinduzi,CON,Country/State
CON_174,CON_174,510,Tanzania,CON,Country/State
CON_176,CON_176,500,Uganda,CON,Country/State
CON_177,CON_177,155,Chile,CON,Country/State
CON_178,CON_178,135,Peru,CON,Country/State
CON_179,CON_179,130,Ecuador,CON,Country/State
CON_18,CON_18,692,Bahrain,CON,Country/State
CON_181,CON_181,100,Colombia,CON,Country/State
CON_19,CON_19,200,UK,CON,Country/State
CON_19,CON_19,200,United Kingdom,CON,Country/State
CON_2,CON_2,255,Germany,CON,Country/State
CON_20,CON_20,710,China,CON,Country/State
CON_202,CON_202,225,Switzerland,CON,Country/State
CON_203,CON_203,40,Cuba,CON,Country/State
CON_21,CON_21,365,Russia,CON,Country/State
CON_22,CON_22,345,Yugoslavia,CON,Country/State
CON_221,CON_221,560,South Africa,CON,Country/State
CON_228,CON_228,600,Morocco,CON,Country/State
CON_247,CON_247,811,Cambodia,CON,Country/State
CON_248,CON_248,522,Djibouti,CON,Country/State
CON_253,CON_253,516,Burundi,CON,Country/State
CON_255,CON_255,615,Algeria,CON,Country/State
CON_259,CON_259,235,Portugal,CON,Country/State
CON_260,CON_260,540,Angola,CON,Country/State
CON_264,CON_264,490,"Congo, Democratic Republic of the",CON,Country/State
CON_264,CON_264,490,DRC,CON,Country/State
CON_267,CON_267,571,Botswana,CON,Country/State
CON_268,CON_268,70,Mexico,CON,Country/State
CON_272,CON_272,531,Eritrea,CON,Country/State
CON_273,CON_273,731,North Korea,CON,Country/State
CON_276,CON_276,920,New Zealand,CON,Country/State
CON_277,CON_277,900,Australia,CON,Country/State
CON_278,CON_278,935,Vanuatu,CON,Country/State
CON_279,CON_279,940,Solomon Islands,CON,Country/State
CON_280,CON_280,953,Tonga,CON,Country/State
CON_281,CON_281,950,Fiji,CON,Country/State
CON_282,CON_282,910,Papua New Guinea,CON,Country/State
CON_285,CON_285,620,Libya,CON,Country/State
CON_287,CON_287,771,Bangladesh,CON,Country/State
CON_288,CON_288,700,Afghanistan,CON,Country/State
CON_289,CON_289,630,Iran (Islamic Republic of),CON,Country/State
CON_290,CON_290,471,Cameroon,CON,Country/State
CON_292,CON_292,835,Brunei,CON,Country/State
CON_294,CON_294,740,Japan,CON,Country/State
CON_295,CON_295,800,Thailand,CON,Country/State
CON_296,CON_296,830,Singapore,CON,Country/State
CON_297,CON_297,816,Vietnam,CON,Country/State
CON_298,CON_298,812,Laos,CON,Country/State
CON_3,CON_3,2,United States,CON,Country/State
CON_300,CON_300,92,El Salvador,CON,Country/State
CON_301,CON_301,780,Sri Lanka,CON,Country/State
CON_304,CON_304,678,Yemen,CON,Country/State
CON_306,CON_306,90,Guatemala ,CON,Country/State
CON_316,CON_316,101,Venezuela,CON,Country/State
CON_335,CON_335,551,Zambia,CON,Country/State
CON_339,CON_339,517,Rwanda,CON,Country/State
CON_348,CON_348,340,Serbia,CON,Country/State
CON_350,CON_350,552,Zimbabwe,CON,Country/State
CON_353,CON_353,403,SÃ£o TomÃ© and PrÃ­ncipe,CON,Country/State
CON_354,CON_354,402,Cape Verde,CON,Country/State
CON_358,CON_358,520,Somalia,CON,Country/State
CON_387,CON_387,435,Mauritania,CON,Country/State
CON_392,CON_392,553,Malawi,CON,Country/State
CON_394,CON_394,360,Romania,CON,Country/State
CON_395,CON_395,770,Pakistan,CON,Country/State
CON_397,CON_397,93,Nicaragua,CON,Country/State
CON_399,CON_399,860,East Timor,CON,Country/State
CON_4,CON_4,230,Spain,CON,Country/State
CON_41,CON_41,434,Benin,CON,Country/State
CON_419,CON_419,670,Saudi Arabia,CON,Country/State
CON_42,CON_42,484,Congo,CON,Country/State
CON_44,CON_44,438,Guinea ,CON,Country/State
CON_441,CON_441,211,Belgium,CON,Country/State
CON_45,CON_45,372,Georgia,CON,Country/State
CON_458,CON_458,732,South Korea,CON,Country/State
CON_481,CON_481,580,Madagascar,CON,Country/State
CON_482,CON_482,590,Mauritius,CON,Country/State
CON_485,CON_485,581,Comoros,CON,Country/State
CON_486,CON_486,694,Qatar,CON,Country/State
CON_52,CON_52,369,Ukraine,CON,Country/State
CON_521,CON_521,570,Lesotho,CON,Country/State
CON_54,CON_54,704,Uzbekistan,CON,Country/State
CON_55,CON_55,703,Kyrgyzstan,CON,Country/State
CON_551,CON_551,775,Myanmar,CON,Country/State
CON_56,CON_56,705,Kazakhstan,CON,Country/State
CON_562,CON_562,640,Turkey,CON,Country/State
CON_563,CON_563,692,Kuwait,CON,Country/State
CON_57,CON_57,701,Turkmenistan,CON,Country/State
CON_58,CON_58,370,Belarus,CON,Country/State
CON_585,CON_585,94,Costa Rica,CON,Country/State
CON_587,CON_587,339,Albania,CON,Country/State
CON_588,CON_588,305,Austria,CON,Country/State
CON_589,CON_589,355,Bulgaria,CON,Country/State
CON_59,CON_59,373,Azerbaijan,CON,Country/State
CON_590,CON_590,616,Tunisia,CON,Country/State
CON_591,CON_591,696,UAE,CON,Country/State
CON_591,CON_591,696,United Arab Emirates,CON,Country/State
CON_592,CON_592,317,Slovakia,CON,Country/State
CON_593,CON_593,380,Sweden,CON,Country/State
CON_594,CON_594,165,Uruguay,CON,Country/State
CON_6,CON_6,482,Central African Republic,CON,Country/State
CON_60,CON_60,359,Moldova,CON,Country/State
CON_601,CON_601,385,Iceland,CON,Country/State
CON_602,CON_602,310,Hungary,CON,Country/State
CON_603,CON_603,290,Poland,CON,Country/State
CON_604,CON_604,390,Denmark,CON,Country/State
CON_605,CON_605,366,Estonia,CON,Country/State
CON_606,CON_606,698,Oman,CON,Country/State
CON_607,CON_607,341,Montenegro,CON,Country/State
CON_608,CON_608,712,Mongolia,CON,Country/State
CON_609,CON_609,352,Cyprus,CON,Country/State
CON_61,CON_61,371,Armenia,CON,Country/State
CON_610,CON_610,343,North Macedonia,CON,Country/State
CON_611,CON_611,215,Luxembourg,CON,Country/State
CON_612,CON_612,368,Lithuania,CON,Country/State
CON_613,CON_613,223,Liechtenstein,CON,Country/State
CON_614,CON_614,338,Malta,CON,Country/State
CON_615,CON_615,367,Latvia,CON,Country/State
CON_62,CON_62,702,Tajikistan,CON,Country/State
CON_621,CON_621,91,Honduras,CON,Country/State
CON_636,CON_636,350,Greece,CON,Country/State
CON_637,CON_637,316,Czechia,CON,Country/State
CON_641,CON_641,591,Seychelles,CON,Country/State
CON_669,CON_669,,Vatican City,CON,Country/State
CON_67,CON_67,41,Haiti,CON,Country/State
CON_670,CON_670,95,Panama,CON,Country/State
CON_7,CON_7,220,France,CON,Country/State
CON_70,CON_70,750,India,CON,Country/State
CON_75,CON_75,645,Iraq,CON,Country/State
CON_76,CON_76,666,Israel,CON,Country/State
CON_77,CON_77,,Syria,CON,Country/State
CON_77,CON_77,,Syrian Arab Republic,CON,Country/State
CON_78,CON_78,663,Jordan,CON,Country/State
CON_79,CON_79,660,Lebanon,CON,Country/State
CON_81,CON_81,385,Norway,CON,Country/State
CON_82,CON_82,651,Egypt,CON,Country/State
CON_83,CON_83,450,Liberia,CON,Country/State
CON_85,CON_85,461,Togo,CON,Country/State
CON_86,CON_86,439,Burkina Faso,CON,Country/State
CON_88,CON_88,437,CÃ´te dâIvoire,CON,Country/State
CON_9,CON_9,160,Argentina,CON,Country/State
CON_90,CON_90,475,Nigeria,CON,Country/State
CON_91,CON_91,404,Guinea-Bissau,CON,Country/State
CON_92,CON_92,433,Senegal,CON,Country/State
CON_93,CON_93,432,Mali,CON,Country/State
CON_930,CON_930,411,Equatorial Guinea,CON,Country/State
CON_94,CON_94,452,Ghana,CON,Country/State
CON_97,CON_97,541,Mozambique,CON,Country/State
CON_99,CON_99,451,Sierra Leone,CON,Country/State
ENT_1099,ENT_1099,750,Nagaland,ENT,Entity
ENT_1102,ENT_1102,520,South West State,ENT,Entity
ENT_1103,ENT_1103,520,Hirshabelle,ENT,Entity
ENT_1104,ENT_1104,520,Banaadir,ENT,Entity
ENT_1133,ENT_1133,530,Oromia region,ENT,Entity
ENT_1160,ENT_1160,581,Ngazidja,ENT,Entity
ENT_1161,ENT_1161,581,Mwali,ENT,Entity
ENT_1163,ENT_1163,840,Maguindanao ,ENT,Entity
ENT_1173,ENT_1173,373,Nagorno-Karabakh,ENT,Entity
ENT_1174,ENT_1174,,Krajina,ENT,Entity
ENT_1247,ENT_1247,775,Chin State,ENT,Entity
ENT_1268,ENT_1268,840,ARMM,ENT,Entity
ENT_1268,ENT_1268,840,Autonomous Region in Muslim Mindanao,ENT,Entity
ENT_1280,ENT_1280,840,"Lone District, Ifugao",ENT,Entity
ENT_1281,ENT_1281,840,Apayao Province,ENT,Entity
ENT_1307,ENT_1307,625,Darfur,ENT,Entity
ENT_1324,ENT_1324,520,South-West State of Somalia,ENT,Entity
ENT_1328,ENT_1328,625,Unity State,ENT,Entity
ENT_1329,ENT_1329,625,Northern Bahr El-Gazal State,ENT,Entity
ENT_170,ENT_170,200,NI,ENT,Entity
ENT_170,ENT_170,200,Northern Ireland,ENT,Entity
ENT_213,ENT_213,560,Bophuthatswana Govt,ENT,Entity
ENT_215,ENT_215,560,Venda Govt,ENT,Entity
ENT_216,ENT_216,560,Transkei Govt,ENT,Entity
ENT_275,ENT_275,365,Chechen Republic,ENT,Entity
ENT_286,ENT_286,771,Chittagong Hill Tracts,ENT,Entity
ENT_341,ENT_341,910,Bougainville Interim Provincial Government,ENT,Entity
ENT_345,ENT_345,910,Bougainville Transitional Government,ENT,Entity
