country,year,month,month_year,best
Afghanistan,2018,1,201801,1823
Afghanistan,2018,2,201802,1497
Afghanistan,2018,3,201803,1511
Afghanistan,2018,4,201804,1960
Afghanistan,2018,5,201805,2500
Afghanistan,2018,6,201806,1773
Afghanistan,2018,7,201807,3176
Afghanistan,2018,8,201808,2471
Afghanistan,2018,9,201809,2427
Afghanistan,2018,10,201810,2457
Afghanistan,2018,11,201811,2901
Afghanistan,2018,12,201812,2399
Afghanistan,2019,1,201901,2253
Afghanistan,2019,2,201902,1699
Afghanistan,2019,3,201903,2410
Afghanistan,2019,4,201904,2154
Afghanistan,2019,5,201905,2812
Afghanistan,2019,6,201906,2734
Afghanistan,2019,7,201907,3820
Afghanistan,2019,8,201908,2854
Afghanistan,2019,9,201909,3526
Afghanistan,2019,10,201910,2504
Afghanistan,2019,11,201911,1633
Afghanistan,2019,12,201912,2036
Afghanistan,2020,1,202001,1697
Afghanistan,2020,2,202002,2805
Afghanistan,2020,3,202003,1190
Afghanistan,2020,4,202004,1036
Afghanistan,2020,5,202005,1166
Afghanistan,2020,6,202006,1478
Afghanistan,2020,7,202007,1567
Afghanistan,2020,8,202008,1392
Afghanistan,2020,9,202009,1778
Afghanistan,2020,10,202010,2724
Afghanistan,2020,11,202011,1938
Afghanistan,2020,12,202012,2063
Afghanistan,2021,1,202101,2707
Afghanistan,2021,2,202102,2043
Afghanistan,2021,3,202103,1774
Afghanistan,2021,4,202104,2828
Afghanistan,2021,5,202105,4995
Afghanistan,2021,6,202106,7662
Afghanistan,2021,7,202107,8438
Afghanistan,2021,8,202108,5097
Afghanistan,2021,9,202109,508
Afghanistan,2021,10,202110,234
Afghanistan,2021,11,202111,72
Afghanistan,2021,12,202112,28
Afghanistan,2022,1,202201,42
Afghanistan,2022,2,202202,21
Afghanistan,2022,3,202203,46
Afghanistan,2022,4,202204,373
Afghanistan,2022,5,202205,198
Afghanistan,2022,6,202206,152
Afghanistan,2022,7,202207,68
Afghanistan,2022,8,202208,82
Afghanistan,2022,9,202209,331
Afghanistan,2022,10,202210,109
Afghanistan,2022,11,202211,49
Afghanistan,2022,12,202212,103
Afghanistan,2023,1,202301,54
Afghanistan,2023,2,202302,21
Afghanistan,2023,3,202303,50
Afghanistan,2023,4,202304,52
Afghanistan,2023,5,202305,18
Afghanistan,2023,6,202306,31
Afghanistan,2023,7,202307,15
Afghanistan,2023,8,202308,27
Afghanistan,2023,9,202309,13
Afghanistan,2023,10,202310,49
Afghanistan,2023,11,202311,21
Afghanistan,2023,12,202312,9
Afghanistan,2024,1,202401,24
Afghanistan,2024,2,202402,1
Afghanistan,2024,3,202403,56
Afghanistan,2024,4,202404,12
Afghanistan,2024,5,202405,47
Afghanistan,2024,6,202406,14
